seller_id,schain_seller_domains,schain_node_names,sampled_publisher_ids,sampled_publisher_names,schain_node_positions,row_count,source_media_guard_rows,total_requests,invalid_traffic_count,sophisticated_ivt_count,general_ivt_count,valid_traffic_count,max_row_ivt_pct,unique_schain_count,sample_schains,weighted_ivt_pct,weighted_sophisticated_ivt_pct,weighted_general_ivt_pct,weighted_valid_traffic_pct,seller_names_found,seller_domains_found,source_names_found_in,sellers_json_urls_found_in,blacklist_reason,media_guard_seller_names,upstream_domains
215167,fyber.com,,34105,Digital Turbine,1,1,1,227300,3600,1100,2500,223700,0.015838,1,"1.0,1!fyber.com,215167,1,,,!dauup.com,34105,1,,,",0.01583809942806863,0.004839419269687638,0.010998680158380994,0.9841619005719313,Wi,widogame.com,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
228848,fyber.com,,34105,Digital Turbine,1,1,1,170600,2700,2200,500,167900,0.015826,1,"1.0,1!fyber.com,228848,1,,,!dauup.com,34105,1,,,",0.015826494724501757,0.012895662368112544,0.0029308323563892145,0.9841735052754983,Woohoo,themekit.live,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
54853,algorix.co,,34106 | 34211 | 34102 | 34163,AlgoriX | Illumin | PubNative | E-planning,1,4,4,7172900,113500,104800,8700,7059400,0.327558,4,"1.0,1!algorix.co,54853,1,,,!dauup.com,34106,1,,, | 1.0,1!algorix.co,54853,1,,,!admanmedia.com,2123,1,,,!dauup.com,34211,1,,, | 1.0,1!algorix.co,54853,1,,,!pubnative.net,1007262,1,,,!dauup.com,34102,1,,, | 1.0,1!algorix.co,54853,1,,,!e-planning.net,53f866af404c4b62,1,,,!dauup.com,34163,1,,,",0.015823446583669087,0.014610548034964938,0.0012128985487041503,0.9841765534163309,Learnings,learnings.ai,Do global (DAPP) - algorix | Algorix,https://www.algorix.co/sellers.json | https://algorix.co/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",AlgoriX | Illumin | PubNative | E-planning,algorix.co
223883,fyber.com,,34105,Digital Turbine,1,1,1,139500,2200,1700,500,137300,0.015771,1,"1.0,1!fyber.com,223883,1,,,!dauup.com,34105,1,,,",0.015770609318996417,0.012186379928315413,0.0035842293906810036,0.9842293906810036,Wonder Entertainment Studios,wonder.barcelona,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
1963889003644063744,bluexad.ai,,34200,Blue Focus,1,1,1,145900,2300,500,1800,143600,0.015764,1,"1.0,1!bluexad.ai,1963889003644063744,1,,,!dauup.com,34200,1,,,",0.015764222069910898,0.003427004797806717,0.01233721727210418,0.9842357779300891,rave,rave.io,Blue Focus,https://bluexad.ai/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Blue Focus,bluexad.ai
235308,fyber.com,,34105,Digital Turbine,1,1,1,209500,3300,2900,400,206200,0.015752,1,"1.0,1!fyber.com,235308,1,,,!dauup.com,34105,1,,,",0.015751789976133652,0.013842482100238664,0.0019093078758949881,0.9842482100238663,TOPJOY TECHNOLOGY PTE. LTD.,itopjoy.com,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
41008,adelement.com,,34163,E-planning,1,1,1,317600,5000,5000,0,312600,0.015743,1,"1.0,1!adelement.com,41008,1,,,!e-planning.net,8531992c955a0666,1,,,!dauup.com,34163,1,,,",0.015743073047858942,0.015743073047858942,0.0,0.9842569269521411,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",E-planning,adelement.com
5003158,pangleglobal.com,,34109,Displayio,1,1,1,495600,7800,7800,0,487800,0.015738,1,"1.0,1!pangleglobal.com,5003158,1,,,!display.io,236374,1,,,!dauup.com,34109,1,,,",0.015738498789346248,0.015738498789346248,0.0,0.9842615012106537,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio,pangleglobal.com
69676,pangleglobal.com,,34109,Displayio,1,1,1,121000,1900,1800,100,119100,0.015702,1,"1.0,1!pangleglobal.com,69676,1,,,!display.io,236374,1,,,!dauup.com,34109,1,,,",0.015702479338842976,0.01487603305785124,0.0008264462809917355,0.984297520661157,,,,,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Displayio,pangleglobal.com
219448,fyber.com,,34105,Digital Turbine,1,1,1,581600,9100,900,8200,572500,0.015646,1,"1.0,1!fyber.com,219448,1,,,!dauup.com,34105,1,,,",0.015646492434662998,0.001547455295735901,0.014099037138927097,0.984353507565337,Gamegou Limited,gamegou.com,Digital Turbine,https://digitalturbine.com/sellers.json,"SChain seller ID weighted IVT > 10% and attributed total requests > 1,000,000",Digital Turbine,fyber.com
